candidate,brightness,detail,raw,scene,step,baseline_count,baseline_mse_y,baseline_mse_cb,baseline_mse_cr,baseline_sigma_y,baseline_sigma_cb,baseline_sigma_cr,candidate_count,candidate_mse_y,candidate_mse_cb,candidate_mse_cr,candidate_sigma_y,candidate_sigma_cb,candidate_sigma_cr
baseline,30.0,0.0,False,Edge,1.0,14080,1.3900910113295006,4.549768460169605e-12,7.245551702805566e-12,1.1781327707127283,1.5358647934216814e-06,1.93817981895504e-06,14080,1.3900910113295006,4.549768460169605e-12,7.245551702805566e-12,1.1781327707127283,1.5358647934216814e-06,1.93817981895504e-06
baseline,30.0,50.0,False,Edge,1.0,14080,1.372357184747836,4.536267663586956e-12,7.224051549440609e-12,1.1705893861627485,1.5398801330891995e-06,1.943246964411558e-06,14080,1.372357184747836,4.536267663586956e-12,7.224051549440609e-12,1.1705893861627485,1.5398801330891995e-06,1.943246964411558e-06
baseline,30.0,100.0,False,Edge,1.0,14080,1.01348850523742,4.536267663586956e-12,7.224051549440609e-12,1.005886215960059,1.5398801330565023e-06,1.943246964370306e-06,14080,1.01348850523742,4.536267663586956e-12,7.224051549440609e-12,1.005886215960059,1.5398801330565023e-06,1.943246964370306e-06
baseline,30.0,0.0,False,Edge,5.0,14080,1.3900910113295006,4.549768460169605e-12,7.245551702805566e-12,1.1781327707127283,1.5358647934216814e-06,1.93817981895504e-06,14080,1.3900910113295006,4.549768460169605e-12,7.245551702805566e-12,1.1781327707127283,1.5358647934216814e-06,1.93817981895504e-06
baseline,30.0,50.0,False,Edge,5.0,14080,1.372357184747836,4.536267663586956e-12,7.224051549440609e-12,1.1705893861627485,1.5398801330891995e-06,1.943246964411558e-06,14080,1.372357184747836,4.536267663586956e-12,7.224051549440609e-12,1.1705893861627485,1.5398801330891995e-06,1.943246964411558e-06
baseline,30.0,100.0,False,Edge,5.0,14080,1.01348850523742,4.536267663586956e-12,7.224051549440609e-12,1.005886215960059,1.5398801330565023e-06,1.943246964370306e-06,14080,1.01348850523742,4.536267663586956e-12,7.224051549440609e-12,1.005886215960059,1.5398801330565023e-06,1.943246964370306e-06
baseline,30.0,0.0,True,Edge,1.0,14080,1.3900915852184823,1.1340669188500982e-12,1.806012892063362e-12,1.178133214457289,7.699400655855243e-07,9.716234809955335e-07,14080,1.3900915852184823,1.1340669188500982e-12,1.806012892063362e-12,1.178133214457289,7.699400655855243e-07,9.716234809955335e-07
baseline,30.0,50.0,True,Edge,1.0,14080,1.3723566201340087,1.1340669188500982e-12,1.806012892063362e-12,1.1705893416972368,7.699400655855248e-07,9.71623480995535e-07,14080,1.3723566201340087,1.1340669188500982e-12,1.806012892063362e-12,1.1705893416972368,7.699400655855248e-07,9.71623480995535e-07
baseline,30.0,100.0,True,Edge,1.0,14080,1.0134873311485482,1.14756771543276e-12,1.827513045428317e-12,1.0058858389079435,7.868410996943809e-07,9.92951688640864e-07,14080,1.0134873311485482,1.14756771543276e-12,1.827513045428317e-12,1.0058858389079435,7.868410996943809e-07,9.92951688640864e-07
baseline,30.0,0.0,True,Edge,5.0,14080,1.3900915852184823,1.1340669188500982e-12,1.806012892063362e-12,1.178133214457289,7.699400655855243e-07,9.716234809955335e-07,14080,1.3900915852184823,1.1340669188500982e-12,1.806012892063362e-12,1.178133214457289,7.699400655855243e-07,9.716234809955335e-07
baseline,30.0,50.0,True,Edge,5.0,14080,1.3723566201340087,1.1340669188500982e-12,1.806012892063362e-12,1.1705893416972368,7.699400655855248e-07,9.71623480995535e-07,14080,1.3723566201340087,1.1340669188500982e-12,1.806012892063362e-12,1.1705893416972368,7.699400655855248e-07,9.71623480995535e-07
baseline,30.0,100.0,True,Edge,5.0,14080,1.0134873311485482,1.14756771543276e-12,1.827513045428317e-12,1.0058858389079435,7.868410996943809e-07,9.92951688640864e-07,14080,1.0134873311485482,1.14756771543276e-12,1.827513045428317e-12,1.0058858389079435,7.868410996943809e-07,9.92951688640864e-07
baseline,128.0,0.0,False,Edge,1.0,14080,1.1191733480019388,2.700159332002184e-13,4.3000306976290037e-13,1.0578234377609077,5.169665430227735e-07,6.523843277437832e-07,14080,1.1191733480019388,2.700159332002184e-13,4.3000306976290037e-13,1.0578234377609077,5.169665430227735e-07,6.523843277437832e-07
baseline,128.0,50.0,False,Edge,1.0,14080,0.4051972186178766,2.1601274588508228e-13,3.4400245473522914e-13,0.6364708845366438,4.6344945865242107e-07,5.848486088834981e-07,14080,0.4051972186178766,2.1601274588508228e-13,3.4400245473522914e-13,0.6364708845366438,4.6344945865242107e-07,5.848486088834981e-07
baseline,128.0,100.0,False,Edge,1.0,14080,1.438042399125905e-06,2.1601274644765948e-13,3.440024556311381e-13,0.0011989006156243923,4.634494592593666e-07,5.848486096494304e-07,14080,1.438042399125905e-06,2.1601274644765948e-13,3.440024556311381e-13,0.0011989006156243923,4.634494592593666e-07,5.848486096494304e-07
baseline,128.0,0.0,False,Edge,5.0,14080,1.1191733480019388,2.700159332002184e-13,4.3000306976290037e-13,1.0578234377609077,5.169665430227735e-07,6.523843277437832e-07,14080,1.1191733480019388,2.700159332002184e-13,4.3000306976290037e-13,1.0578234377609077,5.169665430227735e-07,6.523843277437832e-07
baseline,128.0,50.0,False,Edge,5.0,14080,0.4051972186178766,2.1601274588508228e-13,3.4400245473522914e-13,0.6364708845366438,4.6344945865242107e-07,5.848486088834981e-07,14080,0.4051972186178766,2.1601274588508228e-13,3.4400245473522914e-13,0.6364708845366438,4.6344945865242107e-07,5.848486088834981e-07
baseline,128.0,100.0,False,Edge,5.0,14080,1.438042399125905e-06,2.1601274644765948e-13,3.440024556311381e-13,0.0011989006156243923,4.634494592593666e-07,5.848486096494304e-07,14080,1.438042399125905e-06,2.1601274644765948e-13,3.440024556311381e-13,0.0011989006156243923,4.634494592593666e-07,5.848486096494304e-07
baseline,128.0,0.0,True,Edge,1.0,14080,1.1191786919200502,4.3202549289531826e-13,6.880049112622775e-13,1.0578260557203556,6.572864618226351e-07,8.294606146540519e-07,14080,1.1191786919200502,4.3202549289531826e-13,6.880049112622775e-13,1.0578260557203556,6.572864618226351e-07,8.294606146540519e-07
baseline,128.0,50.0,True,Edge,1.0,14080,0.4051993126773926,0.0,0.0,0.6364726419844664,0.0,0.0,14080,0.4051993126773926,0.0,0.0,0.6364726419844664,0.0,0.0
baseline,128.0,100.0,True,Edge,1.0,14080,1.440011316645192e-06,2.1601274588508228e-13,3.4400245473522914e-13,0.00119985547848597,4.634494586558696e-07,5.848486088878499e-07,14080,1.440011316645192e-06,2.1601274588508228e-13,3.4400245473522914e-13,0.00119985547848597,4.634494586558696e-07,5.848486088878499e-07
baseline,128.0,0.0,True,Edge,5.0,14080,1.1191786919200502,4.3202549289531826e-13,6.880049112622775e-13,1.0578260557203556,6.572864618226351e-07,8.294606146540519e-07,14080,1.1191786919200502,4.3202549289531826e-13,6.880049112622775e-13,1.0578260557203556,6.572864618226351e-07,8.294606146540519e-07
baseline,128.0,50.0,True,Edge,5.0,14080,0.4051993126773926,0.0,0.0,0.6364726419844664,0.0,0.0,14080,0.4051993126773926,0.0,0.0,0.6364726419844664,0.0,0.0
baseline,128.0,100.0,True,Edge,5.0,14080,1.440011316645192e-06,2.1601274588508228e-13,3.4400245473522914e-13,0.00119985547848597,4.634494586558696e-07,5.848486088878499e-07,14080,1.440011316645192e-06,2.1601274588508228e-13,3.4400245473522914e-13,0.00119985547848597,4.634494586558696e-07,5.848486088878499e-07
baseline,200.0,0.0,False,Edge,1.0,14080,0.7836394225993303,2.520072672855874e-28,4.013240894751093e-28,0.8851991769400943,1.587368792146522e-14,2.003175130620184e-14,14080,0.7836394225993303,2.520072672855874e-28,4.013240894751093e-28,0.8851991769400943,1.587368792146522e-14,2.003175130620184e-14
baseline,200.0,50.0,False,Edge,1.0,14080,0.10899259675388791,2.1601274701023636e-13,3.4400245652704896e-13,0.33011923399201715,4.634494598663119e-07,5.848486104153644e-07,14080,0.10899259675388791,2.1601274701023636e-13,3.4400245652704896e-13,0.33011923399201715,4.634494598663119e-07,5.848486104153644e-07
baseline,200.0,100.0,False,Edge,1.0,14080,1.4727280801059565e-09,6.480382399055541e-13,1.0320073677893261e-12,9.054757558819171e-06,7.981178694911323e-07,1.0071823733578373e-06,14080,1.4727280801059565e-09,6.480382399055541e-13,1.0320073677893261e-12,9.054757558819171e-06,7.981178694911323e-07,1.0071823733578373e-06
baseline,200.0,0.0,False,Edge,5.0,14080,0.7836394225993303,2.520072672855874e-28,4.013240894751093e-28,0.8851991769400943,1.587368792146522e-14,2.003175130620184e-14,14080,0.7836394225993303,2.520072672855874e-28,4.013240894751093e-28,0.8851991769400943,1.587368792146522e-14,2.003175130620184e-14
baseline,200.0,50.0,False,Edge,5.0,14080,0.10899259675388791,2.1601274701023636e-13,3.4400245652704896e-13,0.33011923399201715,4.634494598663119e-07,5.848486104153644e-07,14080,0.10899259675388791,2.1601274701023636e-13,3.4400245652704896e-13,0.33011923399201715,4.634494598663119e-07,5.848486104153644e-07
baseline,200.0,100.0,False,Edge,5.0,14080,1.4727280801059565e-09,6.480382399055541e-13,1.0320073677893261e-12,9.054757558819171e-06,7.981178694911323e-07,1.0071823733578373e-06,14080,1.4727280801059565e-09,6.480382399055541e-13,1.0320073677893261e-12,9.054757558819171e-06,7.981178694911323e-07,1.0071823733578373e-06
baseline,200.0,0.0,True,Edge,1.0,14080,0.7836375396529377,2.534724258163181e-28,4.036573690650811e-28,0.8851980486409502,2.0785939269113557e-15,2.6230751679145236e-15,14080,0.7836375396529377,2.534724258163181e-28,4.036573690650811e-28,0.8851980486409502,2.0785939269113557e-15,2.6230751679145236e-15
baseline,200.0,50.0,True,Edge,1.0,14080,0.10899142269213917,2.1601274701023636e-13,3.4400245652704896e-13,0.33011737541634306,4.634494586800089e-07,5.848486089183133e-07,14080,0.10899142269213917,2.1601274701023636e-13,3.4400245652704896e-13,0.33011737541634306,4.634494586800089e-07,5.848486089183133e-07
baseline,200.0,100.0,True,Edge,1.0,14080,9.211550466737737e-10,4.3202549177016446e-13,6.880049094704576e-13,4.3670854384231395e-06,6.535412101627787e-07,8.247343059222341e-07,14080,9.211550466737737e-10,4.3202549177016446e-13,6.880049094704576e-13,4.3670854384231395e-06,6.535412101627787e-07,8.247343059222341e-07
baseline,200.0,0.0,True,Edge,5.0,14080,0.7836375396529377,2.534724258163181e-28,4.036573690650811e-28,0.8851980486409502,2.0785939269113557e-15,2.6230751679145236e-15,14080,0.7836375396529377,2.534724258163181e-28,4.036573690650811e-28,0.8851980486409502,2.0785939269113557e-15,2.6230751679145236e-15
baseline,200.0,50.0,True,Edge,5.0,14080,0.10899142269213917,2.1601274701023636e-13,3.4400245652704896e-13,0.33011737541634306,4.634494586800089e-07,5.848486089183133e-07,14080,0.10899142269213917,2.1601274701023636e-13,3.4400245652704896e-13,0.33011737541634306,4.634494586800089e-07,5.848486089183133e-07
baseline,200.0,100.0,True,Edge,5.0,14080,9.211550466737737e-10,4.3202549177016446e-13,6.880049094704576e-13,4.3670854384231395e-06,6.535412101627787e-07,8.247343059222341e-07,14080,9.211550466737737e-10,4.3202549177016446e-13,6.880049094704576e-13,4.3670854384231395e-06,6.535412101627787e-07,8.247343059222341e-07
baseline,30.0,0.0,False,"Texture(4, 0)",1.0,14080,16.879042077798147,3.1963136011317913e-12,5.090161325378371e-12,4.098561442128219,1.7778793076295337e-06,2.2435892855573693e-06,14080,16.879042077798147,3.1963136011317913e-12,5.090161325378371e-12,4.098561442128219,1.7778793076295337e-06,2.2435892855573693e-06
baseline,30.0,50.0,False,"Texture(4, 0)",1.0,14080,16.848524721787157,3.1321848182519264e-12,4.988035598308734e-12,4.094861376781489,1.7527249944815122e-06,2.2118458779918527e-06,14080,16.848524721787157,3.1321848182519264e-12,4.988035598308734e-12,4.094861376781489,1.7527249944815122e-06,2.2118458779918527e-06
baseline,30.0,100.0,False,"Texture(4, 0)",1.0,14080,16.099003776428503,3.0613056350942497e-12,4.875159791392811e-12,4.002901475217412,1.7495217070281554e-06,2.2078034993117373e-06,14080,16.099003776428503,3.0613056350942497e-12,4.875159791392811e-12,4.002901475217412,1.7495217070281554e-06,2.2078034993117373e-06
baseline,30.0,0.0,False,"Texture(4, 0)",5.0,14080,16.87904235084397,3.236815990914918e-12,5.154661785529265e-12,4.098561477160648,1.791804205521632e-06,2.2611617673220952e-06,14080,16.87904235084397,3.236815990914918e-12,5.154661785529265e-12,4.098561477160648,1.791804205521632e-06,2.2611617673220952e-06
