candidate,brightness,c_ratio,correlation,height,raw,seed,step,y_ratio,baseline_count,baseline_mse_y,baseline_mse_cb,baseline_mse_cr,baseline_sigma_y,baseline_sigma_cb,baseline_sigma_cr,candidate_count,candidate_mse_y,candidate_mse_cb,candidate_mse_cr,candidate_sigma_y,candidate_sigma_cb,candidate_sigma_cr
baseline,30.0,1.0,8,256,False,173,1.0,1.0,53504,1.2690051055914024,13.26683638486105,14.154846750782772,0.7851058429324815,3.6392891270535093,3.7622927255382184,53504,1.2690051055914024,13.26683638486105,14.154846750782772,0.7851058429324815,3.6392891270535093,3.7622927255382184
baseline,30.0,1.0,8,432,False,173,1.0,1.0,107008,1.3101873673980484,13.28369373814547,14.221432630110167,0.8066480399199589,3.6446793639990642,3.7500592016898606,107008,1.3101873673980484,13.28369373814547,14.221432630110167,0.8066480399199589,3.6446793639990642,3.7500592016898606
baseline,30.0,1.0,8,256,False,173,5.0,1.0,53504,1.5494097020597208,1.3708386735739109,1.7234825325791823,0.7932291370683684,1.1189575859445289,1.3020146502759684,53504,1.5494097020597208,1.3708386735739109,1.7234825325791823,0.7932291370683684,1.1189575859445289,1.3020146502759684
baseline,30.0,1.0,8,432,False,173,5.0,1.0,107008,1.5893449448994934,1.3453208481503036,2.1392441560563147,0.8164457463686687,1.1386604861113894,1.3518335921245908,107008,1.5893449448994934,1.3453208481503036,2.1392441560563147,0.8164457463686687,1.1386604861113894,1.3518335921245908
baseline,30.0,1.0,8,256,True,173,1.0,1.0,53504,1.269004295175498,13.266833635418122,14.154843504774597,0.7851057391266538,3.639288747184276,3.762292294149287,53504,1.269004295175498,13.266833635418122,14.154843504774597,0.7851057391266538,3.639288747184276,3.762292294149287
baseline,30.0,1.0,8,432,True,173,1.0,1.0,107008,1.3101865455871153,13.283690992448133,14.221429551549821,0.806647945214917,3.644678987368926,3.7500587934472134,107008,1.3101865455871153,13.283690992448133,14.221429551549821,0.806647945214917,3.644678987368926,3.7500587934472134
baseline,30.0,1.0,8,256,True,173,5.0,1.0,53504,1.5494086990968636,1.370838403193874,1.7234820360543592,0.7932290324190553,1.1189574468439787,1.3020144550168389,53504,1.5494086990968636,1.370838403193874,1.7234820360543592,0.7932290324190553,1.1189574468439787,1.3020144550168389
baseline,30.0,1.0,8,432,True,173,5.0,1.0,107008,1.5893439481976612,1.3453205598768334,2.139243596493959,0.8164456443875547,1.1386603493918828,1.351833395607788,107008,1.5893439481976612,1.3453205598768334,2.139243596493959,0.8164456443875547,1.1386603493918828,1.351833395607788
baseline,30.0,1.0,24,256,False,173,1.0,1.0,53504,1.1579856621094318,18.287236704232743,16.46834855841348,0.7841861502085116,4.26670184006035,4.03870386007962,53504,1.1579856621094318,18.287236704232743,16.46834855841348,0.7841861502085116,4.26670184006035,4.03870386007962
baseline,30.0,1.0,24,432,False,173,1.0,1.0,107008,1.2004287333944015,18.699221925617366,20.08835633346771,0.8067406293098116,4.246438371964685,4.461127600945428,107008,1.2004287333944015,18.699221925617366,20.08835633346771,0.8067406293098116,4.246438371964685,4.461127600945428
baseline,30.0,1.0,24,256,False,173,5.0,1.0,53504,1.366069297203716,8.304453447333637,6.5799361172278505,0.7908567344511584,2.881646422996776,2.54789805867018,53504,1.366069297203716,8.304453447333637,6.5799361172278505,0.7908567344511584,2.881646422996776,2.54789805867018
baseline,30.0,1.0,24,432,False,173,5.0,1.0,107008,1.4457550435623918,7.791893610336386,9.541833597455074,0.8257354527387036,2.735237861689272,3.047205970101359,107008,1.4457550435623918,7.791893610336386,9.541833597455074,0.8257354527387036,2.735237861689272,3.047205970101359
baseline,30.0,1.0,24,256,True,173,1.0,1.0,53504,1.1579849179351391,18.287232756226643,16.46834486553893,0.7841860495958527,4.2667013813155,4.038703409890171,53504,1.1579849179351391,18.287232756226643,16.46834486553893,0.7841860495958527,4.2667013813155,4.038703409890171
baseline,30.0,1.0,24,432,True,173,1.0,1.0,107008,1.2004279797411352,18.69921784296521,20.088352134614073,0.8067405324285155,4.246437915582028,4.461127131262437,107008,1.2004279797411352,18.69921784296521,20.088352134614073,0.8067405324285155,4.246437915582028,4.461127131262437
baseline,30.0,1.0,24,256,True,173,5.0,1.0,53504,1.366068446526005,8.304451451377862,6.579934342982224,0.7908566401155425,2.881646076277677,2.547897719348973,53504,1.366068446526005,8.304451451377862,6.579934342982224,0.7908566401155425,2.881646076277677,2.547897719348973
baseline,30.0,1.0,24,432,True,173,5.0,1.0,107008,1.4457541582758424,7.791891616582438,9.54183128288365,0.8257353533957923,2.735237518253687,3.0472055922128676,107008,1.4457541582758424,7.791891616582438,9.54183128288365,0.8257353533957923,2.735237518253687,3.0472055922128676
baseline,128.0,1.0,8,256,False,173,1.0,1.0,53504,3.024677685061139,13.790899622635964,14.696582491084818,1.7269604525228142,3.713313295381692,3.8330607003059427,53504,3.024677685061139,13.790899622635964,14.696582491084818,1.7269604525228142,3.713313295381692,3.8330607003059427
baseline,128.0,1.0,8,432,False,173,1.0,1.0,107008,3.0385330865801414,13.817170445938244,14.71871755802763,1.7301299371256333,3.715517678521175,3.8215259688221797,107008,3.0385330865801414,13.817170445938244,14.71871755802763,1.7301299371256333,3.715517678521175,3.8215259688221797
baseline,128.0,1.0,8,256,False,173,5.0,1.0,53504,3.0411930415469084,1.313744035380038,1.7843654563446099,1.725062716533185,1.1430179357320644,1.3357975763605046,53504,3.0411930415469084,1.313744035380038,1.7843654563446099,1.725062716533185,1.1430179357320644,1.3357975763605046
baseline,128.0,1.0,8,432,False,173,5.0,1.0,107008,3.0567287875574523,1.3523198558422052,2.078502286153477,1.7286437844076268,1.1619910438378986,1.385579696482449,107008,3.0567287875574523,1.3523198558422052,2.078502286153477,1.7286437844076268,1.1619910438378986,1.385579696482449
baseline,128.0,1.0,8,256,True,173,1.0,1.0,53504,3.0246839851282417,13.790902603668865,14.696586486619953,1.7269611061631114,3.713313696238299,3.833061222613005,53504,3.0246839851282417,13.790902603668865,14.696586486619953,1.7269611061631114,3.713313696238299,3.833061222613005
baseline,128.0,1.0,8,432,True,173,1.0,1.0,107008,3.0385395541465705,13.817173550017403,14.71872166873176,1.730130592601444,3.71551809685683,3.8215264970961673,107008,3.0385395541465705,13.817173550017403,14.71872166873176,1.730130592601444,3.71551809685683,3.8215264970961673
baseline,128.0,1.0,8,256,True,173,5.0,1.0,53504,3.0412003755366945,1.3137445054317638,1.7843662289956326,1.7250633875275518,1.1430181363534822,1.3357978658268137,53504,3.0412003755366945,1.3137445054317638,1.7843662289956326,1.7250633875275518,1.1430181363534822,1.3357978658268137
baseline,128.0,1.0,8,432,True,173,5.0,1.0,107008,3.0567363516503097,1.3523203125265204,2.07850320100736,1.728644475598235,1.1619912420265663,1.385579982599414,107008,3.0567363516503097,1.3523203125265204,2.07850320100736,1.728644475598235,1.1619912420265663,1.385579982599414
baseline,128.0,1.0,24,256,False,173,1.0,1.0,53504,3.0184092174699457,18.940737401514046,17.03963695733854,1.7277151602972196,4.340793342852374,4.1067695548785546,53504,3.0184092174699457,18.940737401514046,17.03963695733854,1.7277151602972196,4.340793342852374,4.1067695548785546
baseline,128.0,1.0,24,432,False,173,1.0,1.0,107008,3.0333499360285345,19.364641901672677,20.725680111889226,1.7312951984188045,4.3169887616396565,4.532800546676504,107008,3.0333499360285345,19.364641901672677,20.725680111889226,1.7312951984188045,4.3169887616396565,4.532800546676504
baseline,128.0,1.0,24,256,False,173,5.0,1.0,53504,3.0280370975590096,8.789140505678624,6.942792576190698,1.7257941047092573,2.9618064920918923,2.6034177682189137,53504,3.0280370975590096,8.789140505678624,6.942792576190698,1.7257941047092573,2.9618064920918923,2.6034177682189137
baseline,128.0,1.0,24,432,False,173,5.0,1.0,107008,3.050248492761257,8.373774708875997,9.859091970944547,1.7309142722738584,2.797223367739337,3.1128717373543187,107008,3.050248492761257,8.373774708875997,9.859091970944547,1.7309142722738584,2.797223367739337,3.1128717373543187
baseline,128.0,1.0,24,256,True,173,1.0,1.0,53504,3.01841492478231,18.940741325210738,17.03964132952773,1.7277157704118156,4.340793799677747,4.10677008512724,53504,3.01841492478231,18.940741325210738,17.03964132952773,1.7277157704118156,4.340793799677747,4.10677008512724
baseline,128.0,1.0,24,432,True,173,1.0,1.0,107008,3.033355763900934,19.364645792467993,20.72568566937394,1.7312958058045869,4.316989223804135,4.532801151167823,107008,3.033355763900934,19.364645792467993,20.72568566937394,1.7312958058045869,4.316989223804135,4.532801151167823
baseline,128.0,1.0,24,256,True,173,5.0,1.0,53504,3.0280435546259152,8.78914290011412,6.942795214753141,1.7257946997192932,2.9618068985342756,2.603418268272367,53504,3.0280435546259152,8.78914290011412,6.942795214753141,1.7257946997192932,2.9618068985342756,2.603418268272367
baseline,128.0,1.0,24,432,True,173,5.0,1.0,107008,3.0502551770739106,8.373776969689276,9.859095639338703,1.7309148799463487,2.797223778478345,3.112872314271423,107008,3.0502551770739106,8.373776969689276,9.859095639338703,1.7309148799463487,2.797223778478345,3.112872314271423
baseline,200.0,1.0,8,256,False,173,1.0,1.0,53504,11.838104830007294,13.838987630310424,14.743587430907022,3.439543161973231,3.7199466851645475,3.8390168514657494,53504,11.838104830007294,13.838987630310424,14.743587430907022,3.439543161973231,3.7199466851645475,3.8390168514657494
baseline,200.0,1.0,8,432,False,173,1.0,1.0,107008,11.780092589090668,13.866381222223152,14.760194600581983,3.4308928392117934,3.7216234513475244,3.827740704636201,107008,11.780092589090668,13.866381222223152,14.760194600581983,3.4308928392117934,3.7216234513475244,3.827740704636201
baseline,200.0,1.0,8,256,False,173,5.0,1.0,53504,11.831357932849345,1.3126869857303967,1.793818826811906,3.4375520960910757,1.1448996307305686,1.3389973054506132,53504,11.831357932849345,1.3126869857303967,1.793818826811906,3.4375520960910757,1.1448996307305686,1.3389973054506132
baseline,200.0,1.0,8,432,False,173,5.0,1.0,107008,11.774827286580596,1.3617299626779682,2.0673973271390507,3.4290566727115834,1.163595451467217,1.388773608536821,107008,11.774827286580596,1.3617299626779682,2.0673973271390507,3.4290566727115834,1.163595451467217,1.388773608536821
baseline,200.0,1.0,8,256,True,173,1.0,1.0,53504,11.838111770933144,13.838987816627245,14.743587904832587,3.439544286796475,3.7199467092584984,3.8390169152216536,53504,11.838111770933144,13.838987816627245,14.743587904832587,3.439544286796475,3.7199467092584984,3.8390169152216536
baseline,200.0,1.0,8,432,True,173,1.0,1.0,107008,11.7800994209832,13.866381131592593,14.760195158730204,3.4308939579444737,3.721623442261718,3.8277407719327057,107008,11.7800994209832,13.866381131592593,14.760195158730204,3.4308939579444737,3.721623442261718,3.8277407719327057
baseline,200.0,1.0,8,256,True,173,5.0,1.0,53504,11.83136469316817,1.3126871218520952,1.7938189991715965,3.4375532408771616,1.1448996852027162,1.338997371875651,53504,11.83136469316817,1.3126871218520952,1.7938189991715965,3.4375532408771616,1.1448996852027162,1.338997371875651
baseline,200.0,1.0,8,432,True,173,5.0,1.0,107008,11.774834002415979,1.361730000961789,2.0673974871059335,3.429057818062854,1.1635954757483529,1.3887736553996821,107008,11.774834002415979,1.361730000961789,2.0673974871059335,3.429057818062854,1.1635954757483529,1.3887736553996821
baseline,200.0,1.0,24,256,False,173,1.0,1.0,53504,11.840734542271749,18.99927177140604,17.089362492285268,3.440278329911835,4.347337046434145,4.112611742590428,53504,11.840734542271749,18.99927177140604,17.089362492285268,3.440278329911835,4.347337046434145,4.112611742590428
baseline,200.0,1.0,24,432,False,173,1.0,1.0,107008,11.785034408812555,19.42490286653863,20.782289367977953,3.432001828920243,4.323198559082664,4.53913898931142,107008,11.785034408812555,19.42490286653863,20.782289367977953,3.432001828920243,4.323198559082664,4.53913898931142
baseline,200.0,1.0,24,256,False,173,5.0,1.0,53504,11.832931781258118,8.841380215238498,6.980517577824922,3.4384797813257117,2.9695056096552586,2.608090563396452,53504,11.832931781258118,8.841380215238498,6.980517577824922,3.4384797813257117,2.9695056096552586,2.608090563396452
baseline,200.0,1.0,24,432,False,173,5.0,1.0,107008,11.781063229110114,8.442254227658863,9.882531885876725,3.4306331133945673,2.8021660950617466,3.118601152947931,107008,11.781063229110114,8.442254227658863,9.882531885876725,3.4306331133945673,2.8021660950617466,3.118601152947931
baseline,200.0,1.0,24,256,True,173,1.0,1.0,53504,11.840741751055422,18.999271130836615,17.08936274648523,3.440279467445324,4.347336977312822,4.112611774418622,53504,11.840741751055422,18.999271130836615,17.08936274648523,3.440279467445324,4.347336977312822,4.112611774418622
baseline,200.0,1.0,24,432,True,173,1.0,1.0,107008,11.785040819372632,19.424902118704473,20.782290286026278,3.4320028654341996,4.323198494877888,4.539139088108922,107008,11.785040819372632,19.424902118704473,20.782290286026278,3.4320028654341996,4.323198494877888,4.539139088108922
baseline,200.0,1.0,24,256,True,173,5.0,1.0,53504,11.832938374825442,8.841380205995222,6.980518138360271,3.438480862785634,2.969505612957887,2.608090674485255,53504,11.832938374825442,8.841380205995222,6.980518138360271,3.438480862785634,2.969505612957887,2.608090674485255
baseline,200.0,1.0,24,432,True,173,5.0,1.0,107008,11.781069509359344,8.442254194511685,9.8825329301596,3.430634166752892,2.802166118737218,3.118601318985031,107008,11.781069509359344,8.442254194511685,9.8825329301596,3.430634166752892,2.802166118737218,3.118601318985031
baseline,30.0,1.0,8,256,False,619,1.0,1.0,53504,1.3737130648888836,13.558785239074691,13.584080143142701,0.82705317320391,3.6438782486130292,3.6829739536292183,53504,1.3737130648888836,13.558785239074691,13.584080143142701,0.82705317320391,3.6438782486130292,3.6829739536292183
baseline,30.0,1.0,8,432,False,619,1.0,1.0,107008,1.3815722990342885,13.499090700256465,13.453335250365134,0.8259842326309179,3.653392650602146,3.667005433984128,107008,1.3815722990342885,13.499090700256465,13.453335250365134,0.8259842326309179,3.653392650602146,3.667005433984128
baseline,30.0,1.0,8,256,False,619,5.0,1.0,53504,1.6470784090452153,1.7199100607813584,1.5926180162048582,0.8319279298114897,1.0793838951481698,1.2320681964790599,53504,1.6470784090452153,1.7199100607813584,1.5926180162048582,0.8319279298114897,1.0793838951481698,1.2320681964790599
baseline,30.0,1.0,8,432,False,619,5.0,1.0,107008,1.6619130225569954,1.5797059685178394,1.5568591543109793,0.8345643581716794,1.0842237531936778,1.2273906620397883,107008,1.6619130225569954,1.5797059685178394,1.5568591543109793,0.8345643581716794,1.0842237531936778,1.2273906620397883
baseline,30.0,1.0,8,256,True,619,1.0,1.0,53504,1.3737121591985608,13.558782601229957,13.584077313241755,0.8270530623990879,3.643877885943794,3.682973567845911,53504,1.3737121591985608,13.558782601229957,13.584077313241755,0.8270530623990879,3.643877885943794,3.682973567845911
baseline,30.0,1.0,8,432,True,619,1.0,1.0,107008,1.3815714155682042,13.49908805520176,13.453332445226906,0.8259841406785516,3.6533922861753094,3.667005050643799,107008,1.3815714155682042,13.49908805520176,13.453332445226906,0.8259841406785516,3.6533922861753094,3.667005050643799
baseline,30.0,1.0,8,256,True,619,5.0,1.0,53504,1.6470773479952445,1.7199097685411533,1.5926176118146307,0.8319278152961888,1.07938376925235,1.2320680249233544,53504,1.6470773479952445,1.7199097685411533,1.5926176118146307,0.8319278152961888,1.07938376925235,1.2320680249233544
baseline,30.0,1.0,8,432,True,619,5.0,1.0,107008,1.6619120017681803,1.579705666153447,1.556858752789962,0.8345642733203017,1.084223613987875,1.2273904936702422,107008,1.6619120017681803,1.579705666153447,1.556858752789962,0.8345642733203017,1.084223613987875,1.2273904936702422
baseline,30.0,1.0,24,256,False,619,1.0,1.0,53504,1.2648645302935535,22.585142124101,18.969809923609667,0.8277425202487776,4.696485521948467,4.325911517034013,53504,1.2648645302935535,22.585142124101,18.969809923609667,0.8277425202487776,4.696485521948467,4.325911517034013
