seed,role,radius,saturated,mixed,injected_clip_target,preprocessing,qualified,comparisons,max_accuracy_budget_fraction,encoded_y_bias,encoded_cb_bias,encoded_cr_bias,accepted_black_fraction,insufficient_bins,rejected_clipped,rejected_structure,rejected_correlation
14951,fit,0,false,false,0.05,lower_clip,True,6,0.0036630512,-0.013423504,-5.9867389e-19,-7.5549466e-19,0.050048828,0,0,0,0
14951,fit,0,false,false,0.05,color_nr,True,6,0.0018315256,-0.013423504,5.6345796e-10,-1.9427724e-11,0.050048828,0,0,0,0
14951,fit,0,false,false,0.05,sharpen,True,6,0.0011775375,-0.019198678,-7.2198624e-19,-9.111083e-19,0.10839844,0,0,0,0
14951,fit,0,false,false,0.05,default,True,6,0.0011775375,-0.019198678,6.8878e-10,-3.074588e-11,0.1081543,0,0,0,0
14951,fit,0,false,false,0.15,lower_clip,True,6,0.0037675345,-0.015844464,-5.0300724e-19,-6.3476843e-19,0.15039062,0,0,0,0
14951,fit,0,false,false,0.15,color_nr,True,6,0.0018837672,-0.015844464,5.328884e-10,7.0003492e-12,0.15039062,0,0,0,0
14951,fit,0,false,false,0.15,sharpen,True,6,0.0012387208,-0.018292354,-6.2700144e-19,-7.9124253e-19,0.22290039,0,0,0,0
14951,fit,0,false,false,0.15,default,True,6,0.0012387208,-0.018292354,6.2434206e-10,-1.9741039e-12,0.22314453,0,0,0,0
14951,fit,0,false,false,0.3,lower_clip,True,6,0.0041469163,-0.0053946768,-1.394582e-19,-1.7598884e-19,0.29882812,0,0,0,0
14951,fit,0,false,false,0.3,color_nr,True,6,0.0020734581,-0.005394677,5.8922359e-10,1.3772128e-11,0.29882812,0,0,0,0
14951,fit,0,false,false,0.3,sharpen,True,6,0.0015308791,-0.0042233222,-1.8207291e-19,-2.2976634e-19,0.36083984,0,0,0,0
14951,fit,0,false,false,0.3,default,True,6,0.0015308791,-0.0042233223,6.0846416e-10,1.2344633e-11,0.36083984,0,0,0,0
14951,fit,0,false,false,0.45,lower_clip,True,6,0.011799474,0.034699774,6.9497683e-19,8.7702386e-19,0.45019531,0,0,0,0
14951,fit,0,false,false,0.45,color_nr,True,6,0.0058997368,0.034699774,4.889836e-10,2.8659014e-11,0.45019531,0,0,0,0
14951,fit,0,false,false,0.45,sharpen,True,6,0.0035623274,0.03788745,7.4530313e-19,9.4053298e-19,0.49291992,0,0,0,0
14951,fit,0,false,false,0.45,default,True,6,0.0035623274,0.03788745,4.9464037e-10,2.792792e-11,0.4934082,0,0,0,0
14951,fit,0,false,false,0.595,lower_clip,True,6,0.032144237,0.044863191,9.1003301e-19,1.1484133e-18,0.59082031,0,0,0,0
14951,fit,0,false,false,0.595,color_nr,True,6,0.016072584,0.044863191,3.7586379e-10,2.7338932e-11,0.59082031,0,0,0,0
14951,fit,0,false,false,0.595,sharpen,False,0,,,,,,1,63,0,0
14951,fit,0,false,false,0.595,default,False,0,,,,,,1,63,0,0
14951,fit,0,false,true,0.05,lower_clip,True,6,0.0044531573,-0.0074898141,-0.0041773477,0.00018823427,0.049804688,0,0,0,0
14951,fit,0,false,true,0.05,color_nr,True,6,0.038341818,-0.0038375265,-6.7303073e-05,-0.00020275373,0.0014648438,0,0,0,0
14951,fit,0,false,true,0.05,sharpen,True,6,0.0020615597,-0.010204999,-0.0026276179,0.00059046165,0.061767578,0,0,0,0
14951,fit,0,false,true,0.05,default,True,6,0.014070455,-0.0070763979,-0.00010724032,-0.00022346928,0.013671875,0,0,0,0
14951,fit,0,false,true,0.15,lower_clip,True,6,0.0044369152,-0.011815972,-0.0040457997,0.00010903277,0.14990234,0,0,0,0
14951,fit,0,false,true,0.15,color_nr,True,6,0.014055842,-0.0055864579,0.00084089833,-0.00036783073,0.010986328,0,0,0,0
14951,fit,0,false,true,0.15,sharpen,True,6,0.0020631955,-0.013348124,-0.0017284803,0.00056276815,0.15917969,0,0,0,0
14951,fit,0,false,true,0.15,default,True,6,0.014055842,-0.0096959597,0.00097915222,-0.00039986833,0.052001953,0,0,0,0
14951,fit,0,false,true,0.3,lower_clip,True,6,0.025258965,-0.015195583,-0.0022888496,-8.687721e-05,0.30249023,0,0,0,0
14951,fit,0,false,true,0.3,color_nr,True,6,0.026345019,-0.0063661101,0.0026586889,-0.00053120357,0.036621094,0,0,0,0
14951,fit,0,false,true,0.3,sharpen,True,6,0.0020959429,-0.014306174,0.00041371921,0.0004116799,0.27441406,0,0,0,0
14951,fit,0,false,true,0.3,default,True,6,0.032680346,-0.01021029,0.0030808572,-0.00052493037,0.11352539,0,0,0,0
14951,fit,0,false,true,0.45,lower_clip,True,6,0.0043918765,-0.015293871,3.7770193e-05,-0.00027326226,0.44921875,0,0,0,0
14951,fit,0,false,true,0.45,color_nr,True,6,0.014239469,-0.0046730935,0.0048117745,-0.00059896854,0.07421875,0,0,0,0
14951,fit,0,false,true,0.45,sharpen,True,6,0.002112012,-0.012345676,0.0028271816,0.00031152844,0.37158203,0,0,0,0
14951,fit,0,false,true,0.45,default,True,6,0.014239469,-0.0075295252,0.0053884036,-0.00055162394,0.17529297,0,0,0,0
14951,fit,0,false,true,0.595,lower_clip,True,6,0.032568006,-0.010388369,0.0026101244,-0.00039059735,0.59179688,0,0,0,0
14951,fit,0,false,true,0.595,color_nr,True,6,0.014002786,0.0013750697,0.0071698676,-0.00053803908,0.12646484,0,0,0,0
14951,fit,0,false,true,0.595,sharpen,True,6,0.0021127936,-0.005985761,0.0053326107,0.00031900901,0.45703125,0,0,0,0
14951,fit,0,false,true,0.595,default,True,6,0.014002786,-0.00014022768,0.0077680786,-0.00045547721,0.24414062,0,0,0,0
14951,fit,0,true,false,0.05,lower_clip,True,6,0.0036661499,-0.0046552007,0.002157418,-0.0062518003,0.050048828,0,0,0,0
14951,fit,0,true,false,0.05,color_nr,True,6,0.0056686085,-0.0044107429,0.001855094,-0.0057396492,0.047363281,0,0,0,0
14951,fit,0,true,false,0.05,sharpen,True,6,0.0011714916,-0.0053686917,0.0029744643,-0.0096238351,0.10766602,0,0,0,0
14951,fit,0,true,false,0.05,default,True,6,0.0056686085,-0.0051746451,0.0026859961,-0.0091284633,0.10473633,0,0,0,0
14951,fit,0,true,false,0.15,lower_clip,True,6,0.0038054407,-0.0056377719,0.0026608136,-0.0072773717,0.15039062,0,0,0,0
14951,fit,0,true,false,0.15,color_nr,True,6,0.0070042855,-0.0046306817,0.001524731,-0.0050119955,0.13208008,0,0,0,0
14951,fit,0,true,false,0.15,sharpen,True,6,0.001216708,-0.004172031,0.0028162029,-0.0091592989,0.21850586,0,0,0,0
14951,fit,0,true,false,0.15,default,True,6,0.0070042855,-0.0034608828,0.0017814224,-0.0071594948,0.20629883,0,0,0,0
14951,fit,0,true,false,0.3,lower_clip,True,6,0.0050854725,-0.0040196534,0.0016944724,-0.0009803917,0.29882812,0,0,0,0
14951,fit,0,true,false,0.3,color_nr,True,6,0.0081109497,-0.0014669691,-0.00096847103,0.0047795453,0.23779297,0,0,0,0
14951,fit,0,true,false,0.3,sharpen,True,6,0.0020336729,-0.00043245224,0.0010653307,-0.00058275193,0.34936523,0,0,0,0
14951,fit,0,true,false,0.3,default,True,6,0.0081109497,0.0013464542,-0.0013027032,0.0042390581,0.31005859,0,0,0,0
14951,fit,0,true,false,0.45,lower_clip,True,6,0.028356382,0.0038104972,-0.0027763958,0.022024054,0.45019531,0,0,0,0
14951,fit,0,true,false,0.45,color_nr,True,6,0.015651018,0.0082682953,-0.0071588547,0.031784378,0.3203125,0,0,0,0
14951,fit,0,true,false,0.45,sharpen,True,6,0.012186354,0.0086075525,-0.0039419106,0.024233597,0.46484375,0,0,0,0
14951,fit,0,true,false,0.45,default,True,6,0.012988255,0.011948102,-0.0078638651,0.032358944,0.37939453,0,0,0,0
14951,fit,0,true,false,0.595,lower_clip,True,6,0.039596958,0.0050591628,-0.0035309851,0.028380272,0.59082031,0,0,0,0
14951,fit,0,true,false,0.595,color_nr,True,6,0.0068105482,0.011712645,-0.009741657,0.042161041,0.38769531,0,0,0,0
14951,fit,0,true,false,0.595,sharpen,True,6,0.0022664085,0.010436225,-0.0050428719,0.03196377,0.53100586,0,0,0,0
14951,fit,0,true,false,0.595,default,True,6,0.0068105482,0.01593759,-0.010723464,0.043601407,0.41870117,0,0,0,0
14951,fit,0,true,true,0.05,lower_clip,True,6,0.0042799968,-0.0045690531,0.0016670801,-0.0063132235,0.050048828,0,0,0,0
14951,fit,0,true,true,0.05,color_nr,True,6,0.0062930784,-0.0010610108,-0.0065399735,0.0064833684,0.011962891,0,0,0,0
14951,fit,0,true,true,0.05,sharpen,True,6,0.0021244885,-0.0054642921,0.0023843119,-0.0080293649,0.078613281,0,0,0,0
14951,fit,0,true,true,0.05,default,True,6,0.0062930784,-0.0023856871,-0.0057530344,0.0038904703,0.040771484,0,0,0,0
14951,fit,0,true,true,0.15,lower_clip,True,6,0.004486704,-0.005536424,0.0021047247,-0.0073496327,0.15039062,0,0,0,0
14951,fit,0,true,true,0.15,color_nr,True,6,0.0066409637,-0.00049746323,-0.0070153523,0.0086875485,0.051513672,0,0,0,0
14951,fit,0,true,true,0.15,sharpen,True,6,0.002243352,-0.00528458,0.0024693399,-0.008110874,0.1730957,0,0,0,0
14951,fit,0,true,true,0.15,default,True,6,0.0066409637,-0.0010584898,-0.0063693372,0.0060889166,0.10253906,0,0,0,0
14951,fit,0,true,true,0.3,lower_clip,True,6,0.0048164119,-0.0038990449,0.0010690304,-0.0010680595,0.29882812,0,0,0,0
14951,fit,0,true,true,0.3,color_nr,True,6,0.0072280447,0.0029234378,-0.0090035288,0.018214924,0.12060547,0,0,0,0
14951,fit,0,true,true,0.3,sharpen,True,6,0.002408206,-0.00212542,0.00085262514,-8.1912734e-06,0.27392578,0,0,0,0
