chroma,brightness,sigma,detail,step,selected,unsupported_reason,baseline_loss,best_loss,selected_loss,max_noise_ratio,max_clean_error,max_bias,feasible_candidates
True,0.062745101749897,0.0010000000474974513,50.0,1.0,94,,0.9999994840916983,0.042867063821404115,0.044861402234180364,0.16708899452830506,0.0,0.0,29
True,0.062745101749897,0.0020000000949949026,50.0,1.0,100,,0.9999998465107972,0.026229888699438413,0.026229888699438413,0.14109256615373564,0.0,0.0,25
True,0.062745101749897,0.004000000189989805,50.0,1.0,100,,0.9999999442211719,0.03611492156055442,0.03611492156055442,0.1957894705176226,0.0,0.0,25
True,0.062745101749897,0.00800000037997961,50.0,1.0,100,,0.9999999771529734,0.12373197128215703,0.12373197128215703,0.3756984181542403,0.0,0.0,25
True,0.062745101749897,0.012000000104308128,50.0,1.0,100,,0.9999999854479363,0.20539624387655647,0.20539624387655647,0.4941914268996991,0.0,0.0,25
True,0.062745101749897,0.01600000075995922,50.0,1.0,100,,0.9999999891450498,0.28212824881100873,0.28212824881100873,0.5794851866289923,0.0,0.0,25
True,0.062745101749897,0.03200000151991844,50.0,1.0,100,,0.9999999943925624,0.5445285675660028,0.5445285675660028,0.7843014775762754,0.0,0.0,25
True,0.062745101749897,0.06400000303983688,50.0,1.0,,,0.9999999970353165,0.8112233986695705,,,,,29
True,0.062745101749897,0.09600000083446503,50.0,1.0,,,0.9999999979489884,0.9069630429744362,,,,,33
True,0.062745101749897,0.12800000607967377,50.0,1.0,,,0.9999999984185466,0.9464326160473779,,,,,33
True,0.062745101749897,0.0010000000474974513,50.0,2.0,87,,0.9999994840916983,0.09823491523833092,0.10181173274970143,0.20669258751493635,0.0,0.0,33
True,0.062745101749897,0.0020000000949949026,50.0,2.0,98,,0.9999998465107972,0.04761404820769054,0.04979412344408041,0.1754055654600404,0.0,0.0,25
True,0.062745101749897,0.004000000189989805,50.0,2.0,100,,0.9999999442211719,0.04283278272981833,0.04283278272981833,0.19050923413945428,0.0,0.0,25
True,0.062745101749897,0.00800000037997961,50.0,2.0,100,,0.9999999771529734,0.12773687948051352,0.12773687948051352,0.38479341950091167,0.0,0.0,25
True,0.062745101749897,0.012000000104308128,50.0,2.0,100,,0.9999999854479363,0.21246783295270363,0.21246783295270363,0.5099074726102184,0.0,0.0,25
True,0.062745101749897,0.01600000075995922,50.0,2.0,100,,0.9999999891450498,0.28683707826581695,0.28683707826581695,0.590213885009275,0.0,0.0,25
True,0.062745101749897,0.03200000151991844,50.0,2.0,100,,0.9999999943925624,0.5452309728810867,0.5452309728810867,0.7811275029495591,0.0,0.0,25
True,0.062745101749897,0.06400000303983688,50.0,2.0,,,0.9999999970353165,0.8085721554131565,,,,,29
True,0.062745101749897,0.09600000083446503,50.0,2.0,,,0.9999999979489884,0.9070275473735061,,,,,33
True,0.062745101749897,0.12800000607967377,50.0,2.0,,,0.9999999984185466,0.9471927698546158,,,,,33
True,0.062745101749897,0.0010000000474974513,50.0,3.0,82,,0.9999994840916983,0.13717442717556352,0.14250716989396642,0.25133665636418573,0.0,0.0,33
True,0.062745101749897,0.0020000000949949026,50.0,3.0,100,,0.9999998465107972,0.05490186794316275,0.05490186794316275,0.14792462127111247,0.0,0.0,25
True,0.062745101749897,0.004000000189989805,50.0,3.0,100,,0.9999999442211719,0.04535953452633928,0.04535953452633928,0.19973847458677899,0.0,0.0,25
True,0.062745101749897,0.00800000037997961,50.0,3.0,100,,0.9999999771529734,0.1268058010988501,0.1268058010988501,0.38718400537453623,0.0,0.0,25
True,0.062745101749897,0.012000000104308128,50.0,3.0,100,,0.9999999854479363,0.20988531275396763,0.20988531275396763,0.5221744513286536,0.0,0.0,25
True,0.062745101749897,0.01600000075995922,50.0,3.0,100,,0.9999999891450498,0.2850508211663994,0.2850508211663994,0.6037784597362127,0.0,0.0,25
True,0.062745101749897,0.03200000151991844,50.0,3.0,100,,0.9999999943925624,0.5501880259425905,0.5501880259425905,0.792084190050008,0.0,0.0,25
True,0.062745101749897,0.06400000303983688,50.0,3.0,,,0.9999999970353165,0.8119861744355377,,,,,29
True,0.062745101749897,0.09600000083446503,50.0,3.0,,,0.9999999979489884,0.9074931783418838,,,,,33
True,0.062745101749897,0.12800000607967377,50.0,3.0,,,0.9999999984185466,0.9460816995871463,,,,,33
True,0.062745101749897,0.0010000000474974513,50.0,4.0,81,,0.9999994840916983,0.14251062770165535,0.14922231765490832,0.2567022348335001,0.0,0.0,33
True,0.062745101749897,0.0020000000949949026,50.0,4.0,100,,0.9999998465107972,0.055897847182693416,0.055897847182693416,0.14351079214336632,0.0,0.0,25
True,0.062745101749897,0.004000000189989805,50.0,4.0,100,,0.9999999442211719,0.04677833989998684,0.04677833989998684,0.19506114961244597,0.0,0.0,25
True,0.062745101749897,0.00800000037997961,50.0,4.0,100,,0.9999999771529734,0.13015750997818967,0.13015750997818967,0.37382433310069374,0.0,0.0,25
True,0.062745101749897,0.012000000104308128,50.0,4.0,100,,0.9999999854479363,0.21267603023138756,0.21267603023138756,0.4960270308741396,0.0,0.0,25
True,0.062745101749897,0.01600000075995922,50.0,4.0,100,,0.9999999891450498,0.28691376698262727,0.28691376698262727,0.5776988693619374,0.0,0.0,25
True,0.062745101749897,0.03200000151991844,50.0,4.0,100,,0.9999999943925624,0.5431167501460573,0.5431167501460573,0.7752957252233476,0.0,0.0,25
True,0.062745101749897,0.06400000303983688,50.0,4.0,,,0.9999999970353165,0.8068362190520262,,,,,29
True,0.062745101749897,0.09600000083446503,50.0,4.0,,,0.9999999979489884,0.9067454878164712,,,,,33
True,0.062745101749897,0.12800000607967377,50.0,4.0,,,0.9999999984185466,0.9467459007587276,,,,,33
True,0.062745101749897,0.0010000000474974513,50.0,5.0,81,,0.9999994840916983,0.14154959487417237,0.14849235719449852,0.2509331562782283,0.0,0.0,33
True,0.062745101749897,0.0020000000949949026,50.0,5.0,100,,0.9999998465107972,0.059126627483747,0.059126627483747,0.13618033567656862,0.0,0.0,25
True,0.062745101749897,0.004000000189989805,50.0,5.0,100,,0.9999999442211719,0.04714683528693221,0.04714683528693221,0.19194120056995745,0.0,0.0,25
True,0.062745101749897,0.00800000037997961,50.0,5.0,100,,0.9999999771529734,0.1317506653552646,0.1317506653552646,0.3685349138340744,0.0,0.0,25
True,0.062745101749897,0.012000000104308128,50.0,5.0,100,,0.9999999854479363,0.21727130633593805,0.21727130633593805,0.4931072300296325,0.0,0.0,25
True,0.062745101749897,0.01600000075995922,50.0,5.0,100,,0.9999999891450498,0.2928581076181802,0.2928581076181802,0.5785818662790844,0.0,0.0,25
True,0.062745101749897,0.03200000151991844,50.0,5.0,100,,0.9999999943925624,0.5467874231737495,0.5467874231737495,0.7806468229187484,0.0,0.0,25
True,0.062745101749897,0.06400000303983688,50.0,5.0,,,0.9999999970353165,0.8084221190446141,,,,,29
True,0.062745101749897,0.09600000083446503,50.0,5.0,,,0.9999999979489884,0.9038665932271273,,,,,33
True,0.062745101749897,0.12800000607967377,50.0,5.0,,,0.9999999984185466,0.9453289775922769,,,,,33
True,0.11764705926179886,0.0010000000474974513,50.0,1.0,85,,0.9999978199999107,0.09270702857594544,0.0961507361775832,0.2132380686307472,0.0,0.0,33
True,0.11764705926179886,0.0020000000949949026,50.0,1.0,94,,0.9999994829397697,0.03977374097608527,0.041279750708000246,0.1567693268730953,0.0,0.0,29
True,0.11764705926179886,0.004000000189989805,50.0,1.0,100,,0.9999998656165112,0.021527058005148786,0.021527058005148786,0.11871446839249586,0.0,0.0,25
True,0.11764705926179886,0.00800000037997961,50.0,1.0,100,,0.9999999535105802,0.0477387997641649,0.0477387997641649,0.22883466721926712,0.0,0.0,25
True,0.11764705926179886,0.012000000104308128,50.0,1.0,100,,0.9999999728829234,0.1036076859910079,0.1036076859910079,0.3179438147489396,0.0,0.0,25
True,0.11764705926179886,0.01600000075995922,50.0,1.0,100,,0.9999999812048682,0.16202837441111864,0.16202837441111864,0.4220853219146688,0.0,0.0,25
True,0.11764705926179886,0.03200000151991844,50.0,1.0,100,,0.9999999913315583,0.39215882376818983,0.39215882376818983,0.6882090049093538,0.0,0.0,25
True,0.11764705926179886,0.06400000303983688,50.0,1.0,,,0.9999999954512054,0.7234296488125096,,,,,25
