variant,seed,brightness,correlation,color_texture,step,detail,before_edge_mse_ycc_y,before_edge_mse_ycc_cb,before_edge_mse_ycc_cr,before_flat_mse_ycc_y,before_flat_mse_ycc_cb,before_flat_mse_ycc_cr,before_flat_sigma_c,before_flat_sigma_y,before_texture_mse_ycc_y,before_texture_mse_ycc_cb,before_texture_mse_ycc_cr,after_edge_mse_ycc_y,after_edge_mse_ycc_cb,after_edge_mse_ycc_cr,after_flat_mse_ycc_y,after_flat_mse_ycc_cb,after_flat_mse_ycc_cr,after_flat_sigma_c,after_flat_sigma_y,after_texture_mse_ycc_y,after_texture_mse_ycc_cb,after_texture_mse_ycc_cr,clean_edge_mse_ycc_y,clean_edge_mse_ycc_cb,clean_edge_mse_ycc_cr,clean_flat_mse_ycc_y,clean_flat_mse_ycc_cb,clean_flat_mse_ycc_cr,clean_flat_sigma_c,clean_flat_sigma_y,clean_texture_mse_ycc_y,clean_texture_mse_ycc_cb,clean_texture_mse_ycc_cr
baseline,173,30.0,8,False,1.0,0.0,49.390110827800086,18.97209966631668,37.77858488733249,49.80455231643809,14.551774906525191,17.907389421659204,3.9249841124293963,7.053241590940244,47.92731360543451,16.02271467458747,15.40395789393823,2.2810875430181694,10.195782461206718,28.965525332904242,1.2275109723356208,7.788374789179011,9.13659606914174,2.778470197480898,0.7609745787724025,16.4635696734826,11.86236938126229,10.384776372010665,1.3900915852184714,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,14.647599208992546,2.1736282603560405e-12,3.461524708556449e-12
baseline,173,30.0,8,False,1.0,50.0,49.390110827800086,18.97209966631668,37.77858488733249,49.80455231643809,14.551774906525191,17.907389421659204,3.9249841124293963,7.053241590940244,47.92731360543451,16.02271467458747,15.40395789393823,2.248757126234881,10.1972257429545,28.97174509087639,1.2271321425379786,7.789730239550813,9.137865475911443,2.778688183700401,0.7634647666216933,16.353061676590485,11.868155662460612,10.389095406049204,1.372356620134009,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,14.620743556471455,2.5786521600860436e-12,4.106529313088828e-12
baseline,173,30.0,8,False,1.0,100.0,49.390110827800086,18.97209966631668,37.77858488733249,49.80455231643809,14.551774906525191,17.907389421659204,3.9249841124293963,7.053241590940244,47.92731360543451,16.02271467458747,15.40395789393823,2.141474436379518,10.241413978965648,29.121999765403917,1.3965348834610523,7.825647721556918,9.173100745816289,2.7846021633416336,0.9211170744620122,14.224612481411874,12.016618246628594,10.500978718968463,1.0134873311486619,1.1475677154328707e-12,1.8275130454284303e-12,0.0,0.0,0.0,0.0,0.0,13.960038665667982,2.5651513622024276e-12,4.085029157652077e-12
baseline,173,30.0,8,False,5.0,0.0,49.390110827800086,18.97209966631668,37.77858488733249,49.80455231643809,14.551774906525191,17.907389421659204,3.9249841124293963,7.053241590940244,47.92731360543451,16.02271467458747,15.40395789393823,2.866189715167024,0.6561782811154607,3.0314522336648384,1.39382263583491,1.0462349916477682,0.9864227828451184,0.8177368212570388,0.7672727608669156,16.80445818353388,0.7213373669233716,0.9925967114805067,1.3900915852184714,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,14.647599992765144,1.998117903972798e-12,3.1820227135241334e-12
baseline,173,30.0,8,False,5.0,50.0,49.390110827800086,18.97209966631668,37.77858488733249,49.80455231643809,14.551774906525191,17.907389421659204,3.9249841124293963,7.053241590940244,47.92731360543451,16.02271467458747,15.40395789393823,2.8326053468324512,0.6565440963411229,3.0318225193825525,1.393035139155491,1.0463681345239666,0.9865966548330336,0.8178018051563821,0.7697662779683785,16.69346610685049,0.72155395897297,0.9929846826903729,1.372356620134009,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,14.62074384590733,2.4841465834448704e-12,3.956028238638209e-12
baseline,173,30.0,8,False,5.0,100.0,49.390110827800086,18.97209966631668,37.77858488733249,49.80455231643809,14.551774906525191,17.907389421659204,3.9249841124293963,7.053241590940244,47.92731360543451,16.02271467458747,15.40395789393823,2.684443424957341,0.6633850109530971,3.0412407252291946,1.5501970501867783,1.0499586671935988,0.9911997193396417,0.819564261150785,0.9254698331521639,14.547236827784936,0.7269878703889617,1.002787228465069,1.0134873311486619,1.1475677154328707e-12,1.8275130454284303e-12,0.0,0.0,0.0,0.0,0.0,13.960038560707142,2.538149768931633e-12,4.042028850754177e-12
baseline,173,30.0,8,True,1.0,0.0,49.390110827800086,18.97209966631668,37.77858488733249,49.80455231643809,14.551774906525191,17.907389421659204,3.9249841124293963,7.053241590940244,47.92731224800945,16.022715562959565,15.403956099206546,2.2810875430181694,10.195782461206718,28.965525332904242,1.2275109723356208,7.788374789179011,9.13659606914174,2.778470197480898,0.7609745787724025,1.4925488333943908,26.971675013116787,10.683315771463832,1.3900915852184714,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,0.004942436475264077,17.552318495819538,0.0025079046842075253
baseline,173,30.0,8,True,1.0,50.0,49.390110827800086,18.97209966631668,37.77858488733249,49.80455231643809,14.551774906525191,17.907389421659204,3.9249841124293963,7.053241590940244,47.92731224800945,16.022715562959565,15.403956099206546,2.248757126234881,10.1972257429545,28.97174509087639,1.2271321425379786,7.789730239550813,9.137865475911443,2.778688183700401,0.7634647666216933,1.4932205756679537,26.97322868830694,10.684717322661417,1.372356620134009,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,0.004942256538159344,17.55232064411378,0.0025078797152269707
baseline,173,30.0,8,True,1.0,100.0,49.390110827800086,18.97209966631668,37.77858488733249,49.80455231643809,14.551774906525191,17.907389421659204,3.9249841124293963,7.053241590940244,47.92731224800945,16.022715562959565,15.403956099206546,2.141474436379518,10.241413978965648,29.121999765403917,1.3965348834610523,7.825647721556918,9.173100745816289,2.7846021633416336,0.9211170744620122,1.6726058570029778,27.018027056276928,10.723605121223985,1.0134873311486619,1.1475677154328707e-12,1.8275130454284303e-12,0.0,0.0,0.0,0.0,0.0,0.004942857116513009,17.5523155330761,0.0025078919719772135
baseline,173,30.0,8,True,5.0,0.0,49.390110827800086,18.97209966631668,37.77858488733249,49.80455231643809,14.551774906525191,17.907389421659204,3.9249841124293963,7.053241590940244,47.92731224800945,16.022715562959565,15.403956099206546,2.866189715167024,0.6561782811154607,3.0314522336648384,1.39382263583491,1.0462349916477682,0.9864227828451184,0.8177368212570388,0.7672727608669156,1.7274756912658293,21.595393382830416,0.994428855673663,1.3900915852184714,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,0.00490297326930011,20.687477359930746,0.002491499049331237
